person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_epsiodes_actor,num_epsiodes_writer
Larry Arnstein,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0036784/?ref_=fn_nm_nm_1,,,0.0,12.0
Barry W. Blaustein,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0087904/?ref_=fn_nm_nm_1,,,1.0,55.0
Billy Brown (X),1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0113126/?ref_=fn_nm_nm_1,,,0.0,13.0
Ferris Butler,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953521/?ref_=fn_nm_nm_1,,,0.0,12.0
John DeBellis,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0213377/?ref_=fn_nm_nm_1,,,0.0,12.0
Jean Doumanian,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235389/?ref_=fn_nm_nm_1,,,0.0,13.0
Nancy Dowd,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235683/?ref_=fn_nm_nm_1,,,0.0,2.0
Leslie Fuller (III),1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1392887/?ref_=fn_nm_nm_1,,,0.0,10.0
Mel Green (II),1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0338154/?ref_=fn_nm_nm_1,,,0.0,13.0
David Hurwitz,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0403791/?ref_=fn_nm_nm_3,,,0.0,12.0
Judith Belushi-Pisano,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0413147/?ref_=fn_nm_nm_1,,,0.0,1.0
Sean Kelly (V),1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0446859/?ref_=fn_nm_nm_1,,,0.0,2.0
Mitchell Kriegman,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0471233/?ref_=fn_nm_nm_1,,,5.0,5.0
Patricia Marx,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0555658/?ref_=fn_nm_nm_1,,,0.0,12.0
Douglas McGrath,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0569790/?ref_=fn_nm_nm_2,,,1.0,13.0
Tom Moore (III),1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0601964/?ref_=fn_nm_nm_1,,,0.0,1.0
Pamela Norris,1980,1984,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0635873/?ref_=fn_nm_nm_1,,,1.0,65.0
Mark Reisman,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0718459/?ref_=fn_nm_nm_1,,,0.0,4.0
David Sheffield,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0790775/?ref_=fn_nm_nm_1,,,1.0,55.0
Jeremy Stevens,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0828484/?ref_=fn_nm_nm_1,,,0.0,2.0
Bob Tischler,1980,1985,5,5,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0864293/?ref_=fn_nm_nm_1,,,0.0,74.0
Mason Williams,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0931281/?ref_=fn_nm_nm_1,,,0.0,2.0
Dirk Wittenborn,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0936999/?ref_=fn_nm_nm_1,,,0.0,1.0
Joe Bodolai,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1188688/?ref_=fn_nm_nm_1,,,0.0,20.0
Nate Herman,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953522/?ref_=fn_nm_nm_1,,,3.0,76.0
Nelson Lyon,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0528962/?ref_=fn_nm_nm_1,,,2.0,20.0
Mark O'Donnell (IV),1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2843346/?ref_=fn_nm_nm_1,,,0.0,20.0
Margaret Oberman,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0643315/?ref_=fn_nm_nm_1,,,0.0,72.0
Andrew Smith (III),1981,1985,4,4,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0807308/?ref_=fn_nm_nm_1,,,3.0,72.0
Terry Southern,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0816143/?ref_=fn_nm_nm_1,,,0.0,20.0
Eliot Wald,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0906997/?ref_=fn_nm_nm_1,,,0.0,77.0
Andrew Kurtzman,1982,1985,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0476065/?ref_=fn_nm_nm_1,,,0.0,57.0
Ellen L. Fogle,1982,1983,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0283941/?ref_=fn_nm_nm_1,,,0.0,20.0
Tracy Tormé,1982,1983,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0868124/?ref_=fn_nm_nm_1,,,0.0,19.0
Andy Breckman,1983,1987,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0106563/?ref_=fn_nm_nm_1,,,9.0,63.0
Adam Green (II),1983,1984,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0337580/?ref_=fn_nm_nm_1,,,0.0,19.0
Kevin Kelton,1983,1985,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0447124/?ref_=fn_nm_nm_1,,,2.0,37.0
Michael C. McCarthy,1983,1984,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0565258/?ref_=fn_nm_nm_1,,,0.0,18.0
Larry David,1984,1985,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0202970/?ref_=fn_nm_nm_1,,,18.0,18.0
Rob Riley (I),1984,1985,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0726988/?ref_=fn_nm_nm_1,,,1.0,17.0
Jack Handey,1985,2001,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0359532/?ref_=fn_nm_nm_1,,,0.0,179.0
Lanier Laney,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0485640/?ref_=fn_nm_nm_1,,,2.0,18.0
Carol Leifer,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0500140/?ref_=fn_nm_nm_1,,,4.0,18.0
George Meyer,1985,1989,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0583127/?ref_=fn_nm_nm_1,,,0.0,71.0
Bruce McCulloch,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0567126/?ref_=fn_nm_nm_1,,,3.0,0.0
Richard Rosen (IV),1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2399917/?ref_=fn_nm_nm_1,,,0.0,3.0
Suzy Schneider,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2954512/?ref_=fn_nm_nm_1,,,0.0,6.0
John Swartzwelder,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0841990/?ref_=fn_nm_nm_1,,,4.0,18.0
E. Jean Carroll,1986,1987,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0140800/?ref_=fn_nm_nm_1,,,0.0,18.0
Marc Shaiman,1986,1989,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0003299/?ref_=fn_nm_nm_1,,,12.0,20.0
Bonnie Turner,1986,1992,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0877425/?ref_=fn_nm_nm_1,,,13.0,130.0
Terry Turner,1986,1992,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0877901/?ref_=fn_nm_nm_1,,,8.0,130.0
Jon Vitti,1986,1987,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0900140/?ref_=fn_nm_nm_1,,,0.0,20.0
Christine Zander,1986,1993,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0952863/?ref_=fn_nm_nm_1,,,22.0,130.0
Greg Daniels,1987,1990,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0199948/?ref_=fn_nm_nm_1,,,0.0,53.0
Conan O'Brien,1987,1991,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0005277/?ref_=fn_nm_nm_1,,,21.0,72.0
Bob Odenkirk,1987,1991,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0644022/?ref_=fn_nm_nm_1,,,13.0,131.0
John Bowman,1988,1989,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0101337/?ref_=fn_nm_nm_1,,,2.0,21.0
Shannon Gaughan,1988,1989,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0969183/?ref_=fn_nm_nm_1,,,0.0,20.0
Tom Hymes,1989,1990,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1631821/?ref_=fn_nm_nm_1,,,0.0,16.0
Dan McGrath (I),1990,1992,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0569775/?ref_=fn_nm_nm_1,,,0.0,36.0
Andy Robin (I),1990,1991,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0732165/?ref_=fn_nm_nm_1,,,1.0,18.0
Warren Hutcherson,1991,1993,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0404209/?ref_=fn_nm_nm_1,,,3.0,40.0
Steve Koren,1991,1998,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0466175/?ref_=fn_nm_nm_1,,,5.0,120.0
Ian Maxtone-Graham,1991,1995,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0561631/?ref_=fn_nm_nm_1,,,3.0,61.0
Bruce Handy,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1554692/?ref_=fn_nm_nm_1,,,0.0,19.0
Dawna Kaufmann,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0442126/?ref_=fn_nm_nm_1,,,0.0,18.0
David Mandel,1992,1995,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0541635/?ref_=fn_nm_nm_1,,,2.0,61.0
Vanessa Middleton,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0585583/?ref_=fn_nm_nm_1,,,0.0,19.0
Glenn Rockowitz,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1032308/?ref_=fn_nm_nm_1,,,0.0,6.0
Dave Attell,1993,1994,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0040995/?ref_=fn_nm_nm_1,,,7.0,20.0
Tony De Sena (I),1993,1994,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1096215/?ref_=fn_nm_nm_1,,,0.0,20.0
Tim Herlihy,1993,2000,7,7,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0379056/?ref_=fn_nm_nm_1,,,1.0,137.0
Steve Lookner,1993,1995,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0382769/?ref_=fn_nm_nm_1,,,2.0,40.0
Lewis Morton,1993,1995,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0608034/?ref_=fn_nm_nm_1,,,1.0,40.0
Ross Abrash,1994,1998,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1039205/?ref_=fn_nm_nm_1,,,0.0,80.0
Norm Hiscock,1994,1997,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0386780/?ref_=fn_nm_nm_1,,,4.0,60.0
Brian Kelley (I),1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0445877/?ref_=fn_nm_nm_1,,,0.0,20.0
Margo Meyer,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953433/?ref_=fn_nm_nm_1,,,0.0,20.0
Adam Resnick,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0720304/?ref_=fn_nm_nm_1,,,0.0,20.0
Drake Sather,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0766153/?ref_=fn_nm_nm_1,,,0.0,21.0
Steve Higgins,1995,2021,26,26,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0383492/?ref_=fn_nm_nm_1,,,58.0,514.0
Cindy Caponera,1995,1998,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0135359/?ref_=fn_nm_nm_1,,,10.0,60.0
Hugh Fink,1995,2002,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0277813/?ref_=fn_nm_nm_1,,,5.0,141.0
Tom Gianas,1995,1998,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0316139/?ref_=fn_nm_nm_1,,,4.0,60.0
Peter Gaulke,1995,1996,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0310087/?ref_=fn_nm_nm_1,,,0.0,16.0
Erin Fraser (III),1995,1996,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0549524/?ref_=fn_nm_nm_1,,,0.0,18.0
Adam McKay,1995,2001,6,6,3,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0570912/?ref_=fn_nm_nm_1,,,15.0,126.0
Dennis McNicholas,1995,2004,9,9,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0574005/?ref_=fn_nm_nm_1,,,19.0,303.0
Lori Nasso,1995,1999,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0621994/?ref_=fn_nm_nm_1,,,14.0,79.0
Paula Pell,1995,2009,14,14,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0996134/?ref_=fn_nm_nm_1,,,66.0,311.0
Frank Sebastiano,1995,2006,11,9,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0780980/?ref_=fn_nm_nm_1,,,3.0,173.0
Andrew Steele (I),1995,2008,13,13,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0824482/?ref_=fn_nm_nm_1,,,1.0,240.0
David Breckman,1996,1997,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1184512/?ref_=fn_nm_nm_1,,,0.0,20.0
Robert Carlock,1996,2001,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1061622/?ref_=fn_nm_nm_1,,,7.0,103.0
Stephen Colbert,1996,1997,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0170306/?ref_=fn_nm_nm_1,,,17.0,23.0
Matt Piedmont,1996,2002,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0682126/?ref_=fn_nm_nm_1,,,3.0,119.0
Scott Wainio,1996,2003,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0906511/?ref_=fn_nm_nm_1,,,7.0,139.0
Michael McCullers,1997,1998,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0567112/?ref_=fn_nm_nm_1,,,0.0,20.0
Michael Schur,1997,2004,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1321658/?ref_=fn_nm_nm_1,,,3.0,138.0
Jerry Collins,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0172381/?ref_=fn_nm_nm_1,,,0.0,39.0
Steven Cragg,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0185735/?ref_=fn_nm_nm_1,,,3.0,39.0
Tony Daro,1998,2001,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1720857/?ref_=fn_nm_nm_1,,,0.0,58.0
Richard Francese,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0289927/?ref_=fn_nm_nm_1,,,11.0,39.0
Matt Graham (II),1998,1999,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1757994/?ref_=fn_nm_nm_1,,,0.0,18.0
Ray James,1998,1999,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0416853/?ref_=fn_nm_nm_1,,,1.0,22.0
T. Sean Shannon,1998,2006,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0780643/?ref_=fn_nm_nm_1,,,0.0,158.0
Kevin Brennan,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0996057/?ref_=fn_nm_nm_1,,,0.0,20.0
Ali Reza,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0995946/?ref_=fn_nm_nm_1,,,0.0,17.0
J.J. Philbin,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0679902/?ref_=fn_nm_nm_1,,,0.0,17.0
James Anderson (XI),2000,2020,20,20,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1318184/?ref_=fn_nm_nm_1,,,9.0,403.0
Melanie Graham (I),2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0334218/?ref_=fn_nm_nm_1,,,0.0,20.0
Erik Kenward,2000,2021,21,21,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1334502/?ref_=fn_nm_nm_1,,,0.0,414.0
Jon Rosenfeld,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1720897/?ref_=fn_nm_nm_1,,,0.0,18.0
Doug Abeles,2001,2011,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1263023/?ref_=fn_nm_nm_1,,,3.0,197.0
Max Brooks,2001,2003,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0112150/?ref_=fn_nm_nm_1,,,0.0,40.0
Louis C.K.,2001,2004,3,3,0,0,0,0,0,0,0,0,4,https://www.imdb.com/name/nm0127373/?ref_=fn_nm_nm_1,,,0.0,15.0
Charlie Grandy,2001,2008,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0334946/?ref_=fn_nm_nm_1,,,1.0,131.0
Ken Scarborough,2001,2004,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0769095/?ref_=fn_nm_nm_1,,,0.0,75.0
Barry Sobel,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0811746/?ref_=fn_nm_nm_1,,,0.0,20.0
Leo Allen,2002,2005,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1179485/?ref_=fn_nm_nm_1,,,3.0,60.0
James Eagan,2002,2004,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0247063/?ref_=fn_nm_nm_1,,,0.0,39.0
Corwin Moore,2002,2003,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0601074/?ref_=fn_nm_nm_1,,,0.0,20.0
Eric Slovin,2002,2005,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0806246/?ref_=fn_nm_nm_1,,,11.0,60.0
Emily Spivey,2002,2010,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0819225/?ref_=fn_nm_nm_1,,,7.0,180.0
Jordan Black,2003,2004,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0085359/?ref_=fn_nm_nm_1,,,0.0,20.0
Liz Cackowski,2003,2006,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1560199/?ref_=fn_nm_nm_1,,,5.0,59.0
David Iserson,2003,2004,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1503347/?ref_=fn_nm_nm_1,,,0.0,20.0
Joe Kelly,2003,2013,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1918708/?ref_=fn_nm_nm_1,,,1.0,59.0
John Lutz,2003,2010,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0527572/?ref_=fn_nm_nm_1,,,21.0,115.0
J.B. Smoove,2003,2006,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1356578/?ref_=fn_nm_nm_1,,,12.0,60.0
Jason Sudeikis,2003,2005,2,2,0,0,0,0,0,0,0,0,1,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1,,,177.0,37.0
Rich Talarico,2003,2005,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0847822/?ref_=fn_nm_nm_1,,,1.0,40.0
Alex Baze,2004,2014,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1733287/?ref_=fn_nm_nm_1,,,0.0,195.0
Matt Murray (I),2004,2007,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1230361/?ref_=fn_nm_nm_1,,,0.0,139.0
Lauren Pomerantz,2004,2005,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1729395/?ref_=fn_nm_nm_1,,,0.0,20.0
Akiva Schaffer,2005,2011,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1676223/?ref_=fn_nm_nm_1,,,8.0,116.0
Jorma Taccone,2005,2011,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1672246/?ref_=fn_nm_nm_1,,,22.0,99.0
Bryan H. Tucker,2005,2021,16,16,5,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1317704/?ref_=fn_nm_nm_1,,,9.0,307.0
Marika Sawyer,2006,2014,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2854926/?ref_=fn_nm_nm_1,,,2.0,142.0
John Solomon,2006,2015,9,9,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1231253/?ref_=fn_nm_nm_1,,,7.0,147.0
Rob Klein,2007,2017,10,10,3,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2914092/?ref_=fn_nm_nm_1,,,0.0,181.0
Simon Rich,2007,2011,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2919995/?ref_=fn_nm_nm_1,,,4.0,83.0
Kent Sublette,2007,2021,14,14,5,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1229014/?ref_=fn_nm_nm_1,,,3.0,229.0
Jessica Conrad,2008,2012,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3165087/?ref_=fn_nm_nm_1,,,0.0,82.0
John Mulaney,2008,2012,4,4,0,0,0,0,0,0,0,0,4,https://www.imdb.com/name/nm1825214/?ref_=fn_nm_nm_1,,,5.0,96.0
Jillian Bell,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3255459/?ref_=fn_nm_nm_1,,,1.0,22.0
Hannibal Buress,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2868110/?ref_=fn_nm_nm_1,,,2.0,22.0
Jessi Klein,2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1585728/?ref_=fn_nm_nm_1,,,2.0,20.0
Christine Nangle,2009,2012,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3652881/?ref_=fn_nm_nm_1,,,2.0,62.0
Michael Patrick O'Brien,2009,2013,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3653190/?ref_=fn_nm_nm_1,,,44.0,103.0
Ryan Perez (I),2009,2010,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1885677/?ref_=fn_nm_nm_1,,,1.0,22.0
Heather Anne Campbell,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2216111/?ref_=fn_nm_nm_1,,,0.0,22.0
Matthew Craig (II),2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2924462/?ref_=fn_nm_nm_1,,,0.0,5.0
Tom Flanigan,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm11281657/?ref_=fn_nm_nm_1,,,0.0,0.0
Shelly Gossman,2010,2012,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4586457/?ref_=fn_nm_nm_1,,,1.0,10.0
Jonathan Krisel,2010,2011,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1730037/?ref_=fn_nm_nm_1,,,0.0,23.0
Sarah Schneider,2010,2017,7,7,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1365351/?ref_=fn_nm_nm_1,,,1.0,75.0
Zach Kanin,2011,2016,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2385671/?ref_=fn_nm_nm_1,,,0.0,97.0
Chris Kelly,2011,2017,6,6,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6287571/?ref_=fn_nm_nm_1,,,0.0,88.0
Pete Schultz,2011,2021,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3965483/?ref_=fn_nm_nm_1,,,0.0,206.0
Neil Casey,2012,2013,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2654481/?ref_=fn_nm_nm_1,,,0.0,19.0
Josh Patten,2012,2021,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm4483652/?ref_=fn_nm_nm_1,,,0.0,172.0
Claire Mulaney,2013,2015,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6004139/?ref_=fn_nm_nm_1,,,0.0,42.0
Katie Rich,2013,2019,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5098521/?ref_=fn_nm_nm_1,,,1.0,106.0
LaKendra Tookes,2013,2014,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm6228635/?ref_=fn_nm_nm_1,,,0.0,11.0
Jeremy Beiler,2014,2017,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1501030/?ref_=fn_nm_nm_1,,,0.0,61.0
Dave McCary,2014,2018,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5050824/?ref_=fn_nm_nm_1,,,0.0,83.0
Natasha Rothwell,2014,2015,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm5625020/?ref_=fn_nm_nm_1,,,0.0,21.0
Nicholas Rutherford,2014,2015,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0751990/?ref_=fn_nm_nm_1,,,0.0,21.0
Meredith Scardino,2014,2015,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2227704/?ref_=fn_nm_nm_1,,,0.0,9.0
